Mass,RT,Blank01,Blank02,Blank03,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,QC01,QC02,QC03,QC04,QC05,QC06
253.0872,1.89,,,,,,,,,1241475.721,610989.429,539935.186,1261318.025,666570.2397,9690509.9,1606197.749,880773.8347,2157369.595,2085258.927,,,,,,,,996081.2599,838898.9875,1138328.41,1422399.796,2525593.329,1828914.221,3702155.094,1566315.176,1219566.423,1203787.971,1208706.452,1221306.541,1213895.18,1205825.271
117.0792,0.41,812925.3768,1216811.65,637622.8663,6328271.052,6614242.94,7377764.802,4803556.672,5934918.711,1968314.407,1907586.832,2447216.7,1839264.652,1932533.972,2519284.249,3080644.257,2268430.556,3457111.191,2599944.604,2847460.682,5014483.546,5608038.239,4899460.045,2775419.79,2537520.22,2032079.939,2875019.78,3224910.536,4153809.358,2727845.468,2361656.885,2069969.567,2846596.407,2594279.438,3465622.054,2643871.081,2605146.398,2923801.318,2894343.393,3068377.737
178.0555,2.73,,,,,,,,,8464755.896,8472303.019,8020159.081,9672597.335,8779314.984,7172500.587,7732260.301,6084704.805,6749315.174,7730865.641,,,,,,,,7822500.302,8838111.935,8360051.687,7602240.813,8152653.416,8155667.076,9732977.077,8076945.151,6748927.777,6858876.105,6748698.928,6912348.633,7009663.757,7009070.891
257.1032,0.39,21775.11887,,18830.88806,2146403.152,2502774.976,2230535.993,2408845.689,1834419.938,5805046.136,5500561.397,5187181,4953292.743,4384752.634,10623942.74,9424733.156,8921431.707,7780526.405,9268318.411,2522928.785,1605778.569,2175733.545,2046417.197,836504.1245,4283391.632,5792071.24,5626530.565,3665260.873,5113032.538,8648233.269,9455414.633,11152266.86,8759665.455,7142388.977,6116209.493,6101132.892,5704625.162,5677644.813,5544928.695,5783305.218
247.1428,0.97,,,,3594499.582,7738277.531,4734054.333,6323319.774,4796389.204,10138526.49,12250437.38,6984291.333,12221942.37,9262196.027,4205165.246,3139184.194,2959569.499,1299140.167,4298378.116,4389439.046,3679613.966,4337683.93,4631788.781,5133168.42,4952476.467,6121588.581,5184086.26,5418852.319,5616141.41,5063570.675,3457049.553,3189530.399,5579347.716,4609171.59,5764466.424,5796393.407,5597863.338,5500672.946,5369113.292,5578329.821
253.0872,2.14,12574.25237,22993.819,20095.7283,16014.93376,12000.7987,13877.46682,9236.742133,19672.61124,678485.5965,347399.9723,268445.064,648398.7083,380160.9509,7373897.618,1166260.861,738260.3681,1379739.695,1448641.613,10883.8007,10436.21498,10422.441,14707.46605,11344.54176,11798.5233,9742.745363,503641.4088,434421.2709,588430.6117,977323.8601,1810492.065,1294928.079,2916992.137,1101168.307,805626.6226,803348.1524,39426.81913,831915.9995,881630.2872,818734.9022
130.0452,2.83,21564772.95,21290069.75,21460026.69,19929175.96,19987106.07,20647510.28,20742402.78,19682951.39,13316655.13,14043227.61,14781621.17,13451638.24,14246319.24,13704888.01,14335575.58,15638136.59,13221504.12,14798808.23,20817254.29,19715202.39,20933938.05,20037518.52,19704071.64,21195180.95,20636538.24,8771104.256,15610162.35,14847168.27,14733594.93,14267428.77,4626094.143,13823653.81,14332863.65,14194900.07,3671857.94,15493073.62,15273995.4,7561695.645,16182629.66
287.2117,3.92,,,,1171228.495,1442765.307,631050.6036,1159555.3,928742.2207,349127.3518,689198.2307,915988.7914,617597.9003,757212.6405,310419.6799,336347.5636,223653.7135,168449.5682,242985.3663,4255186.324,3671144.088,4229615.529,4465135.309,4318754.063,4440496.088,5519472.311,3820559.822,4820207.198,4405600.552,4547018.752,5281974.978,5876376.153,6920971.303,4483515.377,2520159.325,2523897.428,2472390.57,2494285.269,2494457.328,2541562.306
71.074,0.53,16412.72102,37051.86374,25399.35082,3759565.134,5667448.888,4128691.355,4020435.041,3996901.003,5757802.412,6670114.749,5937998.153,6077026.946,7340407.381,3844474.693,3947819.224,3009065.98,3236243.435,4215887.837,4788245.673,4374397.406,4811847.975,4034406.695,6488631.823,5805604.317,4989598.934,3770307.13,3738520.845,3519637.462,3406859.128,5097047.331,4609609.595,5422050.899,4764528.833,4705227.174,4749852.907,4838464.203,4846636.951,4920990.596,5002533.842
297.09,2.19,,,,1163984.566,2956888.56,1223189.113,2292796.556,1661972.182,3711434.381,2726515.438,2696396.259,4689676.365,2838579.548,2746174.001,1749484.243,2309305.786,1643304.672,2935800.922,2636759.36,1885291.911,1901959.293,1506265.077,2443083.327,3311874.115,2485864.467,2111138.114,2515954.681,3002412.721,4192332.167,3819767.279,5160097.954,6204274.942,4228153.679,2681820.311,2703231.034,2845533.606,2934945.556,3018556.807,2951026.039
